Pizza,,
Végétarienne,"Tomates fraiches, tapenades d'olives, tomates séchées, oignons",9
Jambon Mozza,"Blancs de volaille, base de mozza, parmesan, tomates fraiches",10
Trois Fromages,"MOzzarella, chèvre, gorgonzola, tomates fraiches, sauce tomate",10
Régina,"Jambon cuit, champignons de Paris frais, mozza, sauce tomate",11
Vésuvio,"Chorizo, poivrons frais, oignons rouges, dés de tomates",12
Dessert,,
Moelleux au chocolat,"Moelleux au chocolat, amandes grillées, tout juste sorti du four",7
Mouse au chocolat,Du chocolat noir fondant allégé aux blancs d'oeufs,7
Tiramisu,La spécialité de la maison,8
Glaces,,
Coupe Antillaise,"Rhum-raisin (3 boules), rhum (3 cl)",3
Colonel Italien,"CItron (3 boules), Grappa Piave (3 cl)",3.2